sitetype,species,mean
Forest,Dutch Leaf-toed Gecko,4.166666667
Garden,Dutch Leaf-toed Gecko,2.714285714
Scrub,Dutch Leaf-toed Gecko,4.714285714
Forest,Antillean Dwarf Gecko,4.666666667
Garden,Antillean Dwarf Gecko,2.214285714
Scrub,Antillean Dwarf Gecko,1
Forest,Striped Anole,18
Garden,Striped Anole,8.611111111
Scrub,Striped Anole,6.714285714
Forest,Laurent's Whiptail,1
Garden,Laurent's Whiptail,2.055555556
Scrub,Laurent's Whiptail,4
Forest,Turnip-tailed Gecko,0.666666667
Garden,Turnip-tailed Gecko,0.071428571
Scrub,Turnip-tailed Gecko,0
