farmName,richness,urbanCat,weedyCover
lowUrbanFarm_1,6,Low,5
lowUrbanFarm_1,5,Low,5
lowUrbanFarm_1,4.5,Low,7.5
lowUrbanFarm_1,4,Low,12.5
lowUrbanFarm_2,5.5,Low,15
lowUrbanFarm_2,6.5,Low,15
lowUrbanFarm_2,1,Low,27.5
lowUrbanFarm_2,5,Low,27.5
lowUrbanFarm_2,5,Low,27.5
lowUrbanFarm_3,9,Low,15
lowUrbanFarm_3,4,Low,20
lowUrbanFarm_3,4.5,Low,25
lowUrbanFarm_3,3,Low,27.5
lowUrbanFarm_3,5,Low,10
lowUrbanFarm_4,6,Low,5
lowUrbanFarm_4,6,Low,5
lowUrbanFarm_4,3,Low,5
lowUrbanFarm_4,6,Low,22.5
lowUrbanFarm_4,2,Low,27.5
lowUrbanFarm_5,4,Low,0
lowUrbanFarm_5,4,Low,20
lowUrbanFarm_5,6,Low,5
lowUrbanFarm_5,5,Low,5
lowUrbanFarm_5,5,Low,10
mediumUrbanFarm_1,3.5,Medium,20
mediumUrbanFarm_1,7,Medium,45
mediumUrbanFarm_1,4,Medium,12.5
mediumUrbanFarm_2,8,Medium,15
mediumUrbanFarm_2,6,Medium,12.5
mediumUrbanFarm_2,4.5,Medium,5
mediumUrbanFarm_2,4.5,Medium,40
mediumUrbanFarm_2,3.5,Medium,15
mediumUrbanFarm_2,5.5,Medium,7.5
mediumUrbanFarm_3,6,Medium,10
mediumUrbanFarm_3,5.5,Medium,22.5
mediumUrbanFarm_3,5,Medium,10
mediumUrbanFarm_3,6.5,Medium,20
mediumUrbanFarm_3,5.5,Medium,12.5
mediumUrbanFarm_4,5.5,Medium,5
mediumUrbanFarm_4,6,Medium,5
mediumUrbanFarm_4,6,Medium,22.5
mediumUrbanFarm_4,3.5,Medium,17.5
mediumUrbanFarm_4,10.5,Medium,0
highUrbanFarm_1,5.5,High,40
highUrbanFarm_1,6,High,40
highUrbanFarm_1,7,High,40
highUrbanFarm_1,8.5,High,72.5
highUrbanFarm_1,8,High,37.5
highUrbanFarm_2,4.5,High,5
highUrbanFarm_2,4,High,7.5
highUrbanFarm_2,4,High,5
highUrbanFarm_2,4.5,High,7.5
highUrbanFarm_2,3.5,High,5
highUrbanFarm_3,5.5,High,25
highUrbanFarm_3,5.5,High,17.5
highUrbanFarm_3,5,High,20
highUrbanFarm_3,5.5,High,7.5
highUrbanFarm_3,5,High,5
highUrbanFarm_4,5.5,High,35
highUrbanFarm_4,4.5,High,50
highUrbanFarm_4,3.5,High,5
highUrbanFarm_4,2,High,12.5
highUrbanFarm_4,4.5,High,10
highUrbanFarm_5,5,High,55
highUrbanFarm_5,7.5,High,27.5
highUrbanFarm_5,6,High,32.5
highUrbanFarm_5,6,High,15
highUrbanFarm_5,7,High,37.5
highUrbanFarm_5,11.5,High,40
highUrbanFarm_5,5.5,High,52.5
highUrbanFarm_6,5,High,5
highUrbanFarm_6,6.5,High,5
highUrbanFarm_6,5.5,High,7.5
highUrbanFarm_6,5,High,7.5
highUrbanFarm_6,3,High,7.5
