Site,sitetype,SR,ReportName
A,Garden,11,A Garden
B,Garden,7,B Garden
C,Forest,7,C Forest
D,Garden,13,D Garden
E,Scrub,11,E Scrub
F,Scrub,10,E Scrub
G,Forest,5,G Forest
H,Forest,11,H Forest
I,Forest,10,I Forest
J,Garden,10,J Garden
K,Garden,13,K Garden
L,Scrub,8,L Scrub
M,Garden,8,M Garden
N,Garden,11,N Garden
O,Garden,9,O Garden
P,Forest,8,P Forest
Q,Garden,7,Q Garden
R,Garden,9,R Garden
S,Scrub,15,S Scrub
T,Forest,7,T Forest
U,Garden,12,U Garden
V,Garden,10,V Garden
X,Garden,9,X Garden
Y,Garden,9,Y Garden
Z,Scrub,11,Z Scrub
AA,Garden,5,AA Garden
BB,Scrub,8,BB Scrub
CC,Garden,9,CC Garden
DD,Garden,10,DD Garden
EE,Scrub,10,EE Scrub
FF,Garden,8,FF Garden
