Site,sitetype,Dutch Leaf-toed Gecko,Antillean Dwarf Gecko,Striped Anole,Laurent's Whiptail,Turnip-tailed Gecko,ReportName
A,Garden,NA,NA,21,0,NA,A Garden
B,Garden,0,1,6,9,1,B Garden
C,Forest,5,5,16,0,0,C Forest
D,Garden,5,1,4,2,0,D Garden
E,Scrub,4,3,11,6,0,E Scrub
F,Scrub,3,0,9,2,0,E Scrub
G,Forest,8,9,17,0,0,G Forest
H,Forest,5,6,20,2,3,H Forest
I,Forest,5,6,16,0,1,I Forest
J,Garden,6,6,12,3,0,J Garden
K,Garden,6,1,7,3,0,K Garden
L,Scrub,2,1,0,2,0,L Scrub
M,Garden,0,1,11,0,0,M Garden
N,Garden,0,1,5,0,0,N Garden
O,Garden,6,1,10,0,0,O Garden
P,Forest,0,1,24,0,0,P Forest
Q,Garden,6,6,8,3,0,Q Garden
R,Garden,0,1,11,0,0,R Garden
S,Scrub,5,0,11,4,0,S Scrub
T,Forest,2,1,15,4,0,T Forest
U,Garden,NA,NA,2,1,NA,U Garden
V,Garden,7,7,7,0,0,V Garden
X,Garden,NA,NA,0,0,NA,X Garden
Y,Garden,NA,NA,10,2,NA,Y Garden
Z,Scrub,7,1,0,3,0,Z Scrub
AA,Garden,NA,NA,13,0,NA,AA Garden
BB,Scrub,8,1,11,4,0,BB Scrub
CC,Garden,0,4,11,1,0,CC Garden
DD,Garden,2,1,8,0,0,DD Garden
EE,Scrub,4,1,5,7,0,EE Scrub
FF,Garden,0,0,9,13,0,FF Garden
